n_epochs,intermediate_distortion,intermediate_l1,mean_optim_l1,min_optim_l1,std_optim_l1,mean_no_optim_l1,min_no_optim_l1,std_no_optim_l1,mean_optim_distortion,min_optim_distortion,std_optim_distortion,mean_no_optim_distortion,min_no_optim_distortion,std_no_optim_distortion,scale_delta,distance_reg,learning_rate
126,1.926126,0.337209,0.602731,0.580443,0.008580,1.137532,1.006358,0.044583,2.209852,1.930453,0.097857,3.320000,3.000000,0.466476,10.000000,0.100000,0.100000
41,0.027024,0.008248,1.136266,1.017653,0.036490,1.142994,1.019681,0.037662,3.272247,2.987454,0.435059,3.290000,3.000000,0.453762,0.010000,0.010000,0.001000
169,2.706479,0.419520,0.707540,0.677589,0.011996,1.151645,1.019681,0.046620,3.303691,2.964604,0.200506,3.300000,3.000000,0.458258,10.000000,0.001000,0.100000
121,1.651836,0.325604,1.107184,1.072357,0.018298,1.145281,1.019681,0.042352,3.133611,2.828459,0.187110,3.280000,3.000000,0.448999,0.100000,0.100000,0.100000
43,0.002746,0.000866,1.136944,1.006138,0.045836,1.137643,1.006358,0.045982,3.228534,2.998705,0.419205,3.230000,3.000000,0.420833,0.001000,0.010000,0.000100
76,0.048103,0.014195,1.135204,1.000050,0.043845,1.144364,0.997184,0.046424,3.311068,2.984202,0.442234,3.340000,3.000000,0.473709,0.001000,1.000000,0.001000
77,2.507898,0.353083,0.750158,0.708012,0.019495,1.143199,1.044218,0.037653,2.732346,2.395896,0.209329,3.310000,3.000000,0.462493,0.001000,0.010000,0.100000
211,1.426705,0.303681,0.663031,0.628412,0.016184,1.142935,0.997184,0.041357,2.471960,2.166774,0.164883,3.310000,3.000000,0.462493,0.001000,0.000100,0.010000
203,1.079824,0.278125,0.984914,0.929901,0.016420,1.142257,1.012489,0.047024,2.877928,2.696076,0.193830,3.340000,3.000000,0.473709,0.001000,0.100000,0.010000
500,1.926291,0.313565,0.488838,0.464214,0.008291,1.145638,1.006358,0.049369,2.108509,2.002440,0.114297,3.400000,3.000000,0.489898,10.000000,0.100000,0.010000
89,0.051992,0.014548,1.140521,1.014212,0.042501,1.140794,1.006358,0.045119,3.317558,2.994475,0.440278,3.340000,3.000000,0.473709,1.000000,10.000000,0.001000
121,2.366731,0.385980,0.548543,0.532154,0.006969,1.144951,1.006358,0.037661,2.568603,2.367199,0.134967,3.330000,3.000000,0.470213,10.000000,0.000100,0.100000
75,0.026525,0.000043,1.146607,1.019681,0.039543,1.146550,1.019681,0.039527,3.290418,3.000000,0.453011,3.290000,3.000000,0.453762,100.000000,0.100000,0.001000
143,2.760689,0.356322,0.703446,0.680197,0.008658,1.141982,1.006358,0.046018,2.653288,2.338382,0.195882,3.350000,3.000000,0.476970,1.000000,0.010000,0.100000
500,2.057562,0.347553,0.431975,0.417644,0.007042,1.148067,1.030561,0.042454,2.008287,1.926142,0.111807,3.280000,3.000000,0.448999,10.000000,0.000100,0.010000
37,0.024808,0.007564,1.136977,0.996937,0.045714,1.143069,0.997184,0.047107,3.370690,2.988008,0.470888,3.390000,3.000000,0.487750,0.100000,0.010000,0.001000
54,0.033561,0.010937,1.139412,1.026238,0.041676,1.148931,1.030561,0.043617,3.314093,2.988821,0.446232,3.340000,3.000000,0.473709,0.100000,0.100000,0.001000
149,2.165202,0.354286,0.733999,0.710569,0.013311,1.139523,1.006358,0.039473,2.581424,2.308034,0.165854,3.320000,3.000000,0.466476,10.000000,0.100000,0.100000
106,0.007941,0.003700,1.148348,1.019994,0.042209,1.149307,1.019681,0.042675,3.324865,2.996048,0.463041,3.330000,3.000000,0.470213,10.000000,10.000000,0.000100
85,2.632582,0.349078,0.644214,0.621877,0.010446,1.145556,1.026068,0.042379,2.655384,2.321966,0.229724,3.340000,3.000000,0.473709,0.001000,0.010000,0.100000
483,2.377422,0.319646,0.343893,0.339273,0.007451,1.140344,1.019681,0.041797,2.154697,1.995662,0.028819,3.360000,3.000000,0.480000,0.100000,0.001000,0.010000
296,1.797040,0.311864,0.508378,0.473299,0.014443,1.145830,0.997184,0.044811,2.277939,2.111873,0.183679,3.330000,3.000000,0.470213,0.010000,0.001000,0.010000
47,0.030489,0.009560,1.132403,1.010142,0.041381,1.140311,1.012489,0.042939,3.308115,2.986039,0.450223,3.330000,3.000000,0.470213,0.100000,0.001000,0.001000
